"filename", "language", "Makefile", "C", "C++", "comment", "blank", "total"
"/home/iago/Área de Trabalho/SO/Projeto 02/Makefile", "Makefile", 2, 0, 0, 0, 0, 2
"/home/iago/Área de Trabalho/SO/Projeto 02/StackDirectory/stackDirectory.c", "C", 0, 0, 0, 0, -1, -1
"/home/iago/Área de Trabalho/SO/Projeto 02/StackDirectory/stackDirectory.h", "C++", 0, 0, 1, 0, 0, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.c", "C", 0, -16, 0, -2, -2, -20
"/home/iago/Área de Trabalho/SO/Projeto 02/main.c", "C", 0, 4, 0, 1, 2, 7
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.c", "C", 0, 33, 0, 3, 6, 42
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.h", "C++", 0, 0, 4, 0, 0, 4
"Total", "-", 2, 21, 5, 2, 5, 35
