"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/iago/Área de Trabalho/SO/Projeto 02/main.c", "C", 0, -51, -3, -15, -69
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.c", "C", 0, 70, 1, 17, 88
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.h", "C++", 15, 0, -1, 0, 14
"Total", "-", 15, 19, -3, 2, 33
