"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.c", "C", 90, 0, 3, 15, 108
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.h", "C++", 0, 5, 0, 3, 8
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.h", "C++", 0, -1, 0, -1, -2
"/home/iago/Área de Trabalho/SO/Projeto 02/main.c", "C", 1, 0, -1, 0, 0
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.c", "C", 34, 0, -2, 11, 43
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.h", "C++", 0, 3, 0, 0, 3
"Total", "-", 125, 7, 0, 28, 160
